[2024-05-01 17:21:14,078] 224 werkzeug - WARNING -  * Debugger is active!
[2024-05-01 17:21:14,094] 224 werkzeug - INFO -  * Debugger PIN: 340-060-891
[2024-05-01 18:10:01,919] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\abc.py', reloading
[2024-05-01 18:10:01,922] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\aifc.py', reloading
[2024-05-01 18:10:01,923] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\argparse.py', reloading
[2024-05-01 18:10:01,924] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\ast.py', reloading
[2024-05-01 18:10:01,927] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\asynchat.py', reloading
[2024-05-01 18:10:01,927] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\asyncore.py', reloading
[2024-05-01 18:10:01,929] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\base64.py', reloading
[2024-05-01 18:10:01,929] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\bdb.py', reloading
[2024-05-01 18:10:01,930] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\binhex.py', reloading
[2024-05-01 18:10:01,930] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\bisect.py', reloading
[2024-05-01 18:10:01,931] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\bz2.py', reloading
[2024-05-01 18:10:01,932] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\calendar.py', reloading
[2024-05-01 18:10:01,932] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\cgi.py', reloading
[2024-05-01 18:10:01,933] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\cgitb.py', reloading
[2024-05-01 18:10:01,933] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\chunk.py', reloading
[2024-05-01 18:10:01,934] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\cmd.py', reloading
[2024-05-01 18:10:01,934] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\code.py', reloading
[2024-05-01 18:10:01,935] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\codecs.py', reloading
[2024-05-01 18:10:01,936] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\codeop.py', reloading
[2024-05-01 18:10:01,936] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\colorsys.py', reloading
[2024-05-01 18:10:01,937] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\antigravity.py', reloading
[2024-05-01 18:10:01,938] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\compileall.py', reloading
[2024-05-01 18:10:01,939] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\configparser.py', reloading
[2024-05-01 18:10:01,940] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\contextlib.py', reloading
[2024-05-01 18:10:01,941] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\contextvars.py', reloading
[2024-05-01 18:10:01,943] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\copy.py', reloading
[2024-05-01 18:10:01,944] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\copyreg.py', reloading
[2024-05-01 18:10:01,945] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\cProfile.py', reloading
[2024-05-01 18:10:01,947] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\crypt.py', reloading
[2024-05-01 18:10:01,947] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\csv.py', reloading
[2024-05-01 18:10:01,948] 224 werkzeug - INFO -  * Detected change in 'C:\\DimondPricePrediction\\env\\Lib\\datetime.py', reloading
